Model Name, File Name,File Size (bytes),Inference Time (ms),E2E Delay (ms)
yolov5n.pt,videos/10.jpg,9192,517.6,14518.117152000
yolov5n.pt,videos/12.jpg,11641,500.1,12898.607004000
yolov5n.pt,videos/13.jpg,9674,398.6,12899.211232000
yolov5n.pt,videos/14.jpg,9705,487.0,13309.494604000
yolov5n.pt,videos/15.jpg,9728,402.2,13000.928965000
yolov5n.pt,videos/15.mp4,5253880,394.2,353607.254405000
yolov5n.pt,videos/16.jpeg,66521,494.1,14518.084154000
yolov5n.pt,videos/17.jpg,14140,792.4,15253.741411000
yolov5n.pt,videos/17.mp4,1055736,430.2,81611.645327000
yolov5n.pt,videos/18.jpg,8091,590.8,15356.889853000
yolov5n.pt,videos/19.jpg,9571,773.7,15765.577139000
yolov5n.pt,videos/1.jpg,11834,590.6,15765.664773000
yolov5n.pt,videos/1.mp4,5485935,422.8,186382.574432000
yolov5n.pt,videos/27.jpg,10115,605.7,15444.016231000
yolov5n.pt,videos/28.jpg,12148,681.3,15052.417173000
yolov5n.pt,videos/29.jpg,12402,581.4,17406.745876000
yolov5n.pt,videos/29.mp4,5253880,428.8,388088.239000000
yolov5n.pt,videos/2.jpg,12883,597.0,18029.428448000
yolov5n.pt,videos/30.jpg,18119,664.3,17814.661054000
yolov5n.pt,videos/32.mp4,2112761,544.0,753699.155235000
yolov5n.pt,videos/3.jpg,10567,586.4,19423.833312000
yolov5n.pt,videos/3.mp4,2112761,597.6,829676.256010000
yolov5n.pt,videos/4.jpg,12030,504.8,14607.572344000
yolov5n.pt,videos/5.jpg,14688,581.7,18330.241236000
yolov5n.pt,videos/6.jpg,13453,600.5,16384.849801000
yolov5n.pt,videos/7.jpg,15812,584.5,18110.344405000
yolov5n.pt,videos/7.mp4,1055736,443.3,83353.039267000
yolov5n.pt,videos/8.jpg,11449,617.4,15867.090013000
yolov5n.pt,videos/8.mp4,2107842,439.7,188637.922106000
yolov5n.pt,videos/9.jpg,13286,590.1,16162.944666000
yolov5n.pt,videos/9.mkv,5247430,442.9,380747.728400000
yolov5s.pt,videos/10.jpg,9192,1300.0,19841.693643000
yolov5s.pt,videos/12.jpg,11641,1390.7,19120.381927000
yolov5s.pt,videos/13.jpg,9674,1196.6,18420.903094000
yolov5s.pt,videos/14.jpg,9705,1199.6,18659.684284000
yolov5s.pt,videos/15.jpg,9728,1294.7,16482.782567000
yolov5s.pt,videos/15.mp4,5253880,1003.7,814105.459792000
yolov5s.pt,videos/16.jpeg,66521,983.2,18605.863613000
yolov5s.pt,videos/17.jpg,14140,1791.9,18023.176052000
yolov5s.pt,videos/17.mp4,1055736,993.5,157492.740468000
yolov5s.pt,videos/18.jpg,8091,1283.8,17813.072544000
yolov5s.pt,videos/19.jpg,9571,1696.2,17196.954966000
yolov5s.pt,videos/1.jpg,11834,1208.8,17988.651703000
yolov5s.pt,videos/1.mp4,5485935,959.4,353318.095064000
yolov5s.pt,videos/27.jpg,10115,1303.3,19131.715185000
yolov5s.pt,videos/28.jpg,12148,1304.4,17720.301756000
yolov5s.pt,videos/29.jpg,12402,1081.6,16894.752966000
yolov5s.pt,videos/29.mp4,5253880,1013.2,819307.506588000
yolov5s.pt,videos/2.jpg,12883,1390.5,17400.160110000
yolov5s.pt,videos/30.jpg,18119,1201.7,18527.161175000
yolov5s.pt,videos/32.mp4,2112761,1406.9,1874791.754739000
yolov5s.pt,videos/3.jpg,10567,1003.9,16035.802498000
yolov5s.pt,videos/3.mp4,2112761,1251.6,1661393.356532000
yolov5s.pt,videos/4.jpg,12030,1000.0,18389.063262000
yolov5s.pt,videos/5.jpg,14688,1084.9,17403.203318000
yolov5s.pt,videos/6.jpg,13453,1287.0,18012.650597000
yolov5s.pt,videos/7.jpg,15812,911.9,15158.704183000
yolov5s.pt,videos/7.mp4,1055736,988.5,154724.992611000
yolov5s.pt,videos/8.jpg,11449,1180.9,15867.774971000
yolov5s.pt,videos/8.mp4,2107842,1003.4,381141.695271000
yolov5s.pt,videos/9.jpg,13286,1202.0,17603.857922000
yolov5s.pt,videos/9.mkv,5247430,999.5,781129.811281000
yolov5m.pt,videos/10.jpg,9192,2880.0,21491.541203000
yolov5m.pt,videos/12.jpg,11641,3085.8,23543.224248000
yolov5m.pt,videos/13.jpg,9674,2777.2,21903.644726000
yolov5m.pt,videos/14.jpg,9705,2786.7,21089.124015000
yolov5m.pt,videos/15.jpg,9728,2728.1,21193.343314000
yolov5m.pt,videos/15.mp4,5253880,2335.3,1805762.046374000
yolov5m.pt,videos/16.jpeg,66521,2082.9,20865.708859000
yolov5m.pt,videos/17.jpg,14140,3985.5,24161.497907000
yolov5m.pt,videos/17.mp4,1055736,2302.8,332812.781651000
yolov5m.pt,videos/18.jpg,8091,2993.9,20873.874601000
yolov5m.pt,videos/19.jpg,9571,3971.9,23342.624036000
yolov5m.pt,videos/1.jpg,11834,2786.6,21704.612915000
yolov5m.pt,videos/1.mp4,5485935,2264.9,751506.773595000
yolov5m.pt,videos/27.jpg,10115,2712.8,21607.980621000
yolov5m.pt,videos/28.jpg,12148,2978.2,22318.746254000
yolov5m.pt,videos/29.jpg,12402,2397.3,22936.516600000
yolov5m.pt,videos/29.mp4,5253880,2320.1,1790600.438639000
yolov5m.pt,videos/2.jpg,12883,3094.5,23731.264393000
yolov5m.pt,videos/30.jpg,18119,2891.7,22929.578757000
yolov5m.pt,videos/32.mp4,2112761,3203.0,4194790.155015000
yolov5m.pt,videos/3.jpg,10567,2289.8,23193.973456000
yolov5m.pt,videos/3.mp4,2112761,3079.3,4022451.753304000
yolov5m.pt,videos/4.jpg,12030,2302.2,23108.677755000
yolov5m.pt,videos/5.jpg,14688,2517.8,21499.198285000
yolov5m.pt,videos/6.jpg,13453,2913.9,22927.315647000
yolov5m.pt,videos/7.jpg,15812,2493.2,20896.350630000
yolov5m.pt,videos/7.mp4,1055736,2303.4,334230.732623000
yolov5m.pt,videos/8.jpg,11449,2603.0,22319.847791000
yolov5m.pt,videos/8.mp4,2107842,2291.9,818940.438177000
yolov5m.pt,videos/9.jpg,13286,2793.8,20732.087653000
yolov5m.pt,videos/9.mkv,5247430,2335.8,1741869.414293000
yolov5l.pt,videos/10.jpg,9192,5289.9,29877.336474000
yolov5l.pt,videos/12.jpg,11641,5694.6,28459.938765000
yolov5l.pt,videos/13.jpg,9674,5099.2,27850.789399000
yolov5l.pt,videos/14.jpg,9705,5289.6,27847.415867000
yolov5l.pt,videos/15.jpg,9728,5301.2,28668.497985000
yolov5l.pt,videos/15.mp4,5253880,4450.9,3370143.272615000
yolov5l.pt,videos/16.jpeg,66521,3998.6,29241.961564000
yolov5l.pt,videos/17.jpg,14140,7516.8,30425.589186000
yolov5l.pt,videos/17.mp4,1055736,4474.7,622802.673260000
yolov5l.pt,videos/18.jpg,8091,5779.3,31327.281074000
yolov5l.pt,videos/19.jpg,9571,7497.4,29487.239485000
yolov5l.pt,videos/1.jpg,11834,5487.8,28052.426276000
yolov5l.pt,videos/1.mp4,5485935,,2143566.621285000
yolov5l.pt,videos/27.jpg,10115,5692.1,34436.401255000
yolov5l.pt,videos/28.jpg,12148,6296.8,32386.208479000
yolov5l.pt,videos/29.jpg,12402,5077.7,34776.139053000
